As a…	I want to ….	So that I can……	Notes - contains requirement ref where appropriate							
General User	search using tabled by:[member name] and retrieve all questions tabled by the member whether answered or not	use the power search tabledby search to get the results I want	"Replace ""Tabled by"" with ""Asked by"" which returns tabling member AND asking member"	/people/:person/questions/tabled						
General User	find all of the Speaker's records when I search for Member: Speaker		replaces SRUS143AN and SRUS143AO. Dependency on work scheduled in to Data backlog	/parliament-positions/:position						
General User	be able to search for answered by [department or member name] and retrieve all relevant answers to questions	see all relevant answers	searcher expects author and answered by to behave in same way. Author to also include tabled by (Issue 160) - replace Answered by with Answering Member field and ensure author returns department for all PQs 	/people/:person/questions/answered	/groups/:department/answers					
General User	be able to select a particular Member’s name or a specific Government Department easily	see relevant lists (could date or session determine which names are in this list?	FS104 Refer to requirements for more info. 	/people/:person	/groups/:department					
General User	be able to search by parliamentary session		FS108	/sessions/:session						
General User	to be able to search across a session range 	target my search at 2 or more sessions		/sessions/:session						
General User	search for select committee reports and evidence by session	I can narrow my results for a particular session or sessions		/reports?from-session=to-session=	/evidence?from-session=to-session=					
General User	search for Bills by session	I can narrow my results for a particular session or sessions		/sessions/:session/bills						
General User	search for EDMs by session	I can narrow my results for a particular session or sessions	"Need to confirm - what if the session predicate doesn't match the date predicate - which one wins? Need to confirm session format. Confirmed. Filtering done by date, display by session. Yyyy-yy format."	/sessions/:session/early-day-motions						
General User	search for laid papers by session	I can narrow my results for a particular session or sessions		/sessions/:session/papers-laid						
General User	be able to search for parliamentary information by constituency or postcode		FS109	/constituencies/:constituency	/postcodes/:postcode					
General User	be able to search by adding geographical tags (geo-tags) to appropriate material	"search for location-based news or material that mentions particular locations, such as a local hospital or education authority"	FS110			Metadata				
General User	"the system to offer simple and intuitive methods for users to select particular fields, such as Members’ names, from a list"		FS116			Metadata				
General User	the system to offer a browse option for users to access the material using categories and hierarchies and to select combinations of material categories to search		FS120			Metadata				
Search User Group	Date facet value ranges to be more finegrained (eg monthly)		Search U/G			Metadata				
General User	"to be able to filter results by eg:
* political party
* region of UK
* cross bench peers"	get a list of all eg SNP MPs' speeches made in the last month	Search U/G	/parties/:party/members/contributions	/regions/:region/members/contributions					
Library staff HoC & HoL	to be able to filter / search for Lords material	"retrieve Lords Library Notes, Lords Debates"	Search U/G - see SRUS136	/houses/:house….						
General User	search for select committee reports and evidence by legislature	I can narrow my results by legislature		/houses/:house/committees/reports	/houses/:house/committees/evidence					
General User	be able to search for Bills by legislature	I can narrow my results by legislature		/houses/:house/bills						
General User	be able to search for deposited papers by legislature	I can narrow my results by legislature		/houses/:house/deposited-papers						
General User	be able to search using legislature House of Commons and retrieve EDMs as part of my search	find EDMs when searching by legislature but not have a legislature option for EDMs given that they are content unique to the House of Commons		/early-day-motions						
General User	be able to search for laid papers by legislature	I can narrow my results by legislature		/houses/:house/papers-laid						
General User	be able to search for (tabled and answered) Parliamentary Questions by legislature	I can narrow my results by legislature	Needs hansard data first	/houses/:house/questions/tabled	/houses/:house/questions/tabled/answered					
General User	be able to search for debates by legislature	I can narrow my results by legislature		/houses/:house/debates						
General User	be able to search for statements by legislature	I can narrow my results by legislature		/houses/:house/statements						
General User	be able to search for formal motions by legislature	I can narrow my results by legislature		/houses/:house/motions						
General User	be able to search for petitions by legislature	I can narrow my results by legislature		/houses/:house/petitions						
General User	be able to search using legislature House of Commons and retrieve Ministerial Corrections as part of my search	find MCs when searching by legislature but not have a legislature option for MCs given that they are content unique to the House of Commons		/ministerial-corrections						
General User	be able to search using legislature House of Commons and retrieve Points of order as part of my search	find Points of order when searching by legislature but not have a legislature option for Points of order given that they are content unique to the House of Commons		/points-of-order						
General User	be able to search for deferred divisions by legislature	I can narrow my results by legislature		/houses/:house/deferred-divisions						
